"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","test_student_create","tests","Tue Nov 18 13:19:04 UTC 2025","passed","Tue Nov 18 13:19:04 UTC 2025","TestStudentCreate","test_student_create","",""
"","9","test_create_group_admin_no_name","tests","Tue Nov 18 13:19:03 UTC 2025","passed","Tue Nov 18 13:19:03 UTC 2025","TestCreateGroupContract","test_create_group_contract","",""
"","60","test_create_same_group_admin","tests","Tue Nov 18 13:19:02 UTC 2025","passed","Tue Nov 18 13:19:02 UTC 2025","TestCreateGroupContract","test_create_group_contract","",""
"","3","test_get_groups_anonym","tests","Tue Nov 18 13:19:03 UTC 2025","failed","Tue Nov 18 13:19:03 UTC 2025","TestGetGroupContract","test_get_groups_contract","",""
"","35","test_create_group_admin","tests","Tue Nov 18 13:19:01 UTC 2025","passed","Tue Nov 18 13:19:01 UTC 2025","TestCreateGroupContract","test_create_group_contract","",""
"","8","test_create_group_anonym","tests","Tue Nov 18 13:19:01 UTC 2025","failed","Tue Nov 18 13:19:01 UTC 2025","TestCreateGroupContract","test_create_group_contract","",""
"","166","test_student_delete","tests","Tue Nov 18 13:19:05 UTC 2025","passed","Tue Nov 18 13:19:05 UTC 2025","TestStudentDelete","test_student_delete","",""
"","10","test_get_groups_admin","tests","Tue Nov 18 13:19:03 UTC 2025","passed","Tue Nov 18 13:19:03 UTC 2025","TestGetGroupContract","test_get_groups_contract","",""
"","230","test_update_created_student","tests","Tue Nov 18 13:19:06 UTC 2025","passed","Tue Nov 18 13:19:06 UTC 2025","TestStudentUpdate","test_student_update","",""
